RECOMMANDATION,VID
"{'Offer': ['OFF0016', 'OFF0010', 'OFF0005', 'OFF0020', 'OFF0013']}",113
"{'Offer': ['OFF0007', 'OFF0005', 'OFF0022', 'OFF0006', 'OFF0024']}",114
"{'Offer': ['OFF0005', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0006']}",115
"{'Offer': ['OFF0007', 'OFF0005', 'OFF0006', 'OFF0001', 'OFF0008']}",116
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0005']}",117
"{'Offer': ['OFF0020', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0010']}",118
"{'Offer': ['OFF0007', 'OFF0027', 'OFF0005', 'OFF0026', 'OFF0006']}",119
"{'Offer': ['OFF0010', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0007']}",120
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0005']}",121
"{'Offer': ['OFF0013', 'OFF0020', 'OFF0010', 'OFF0007', 'OFF0005']}",122
"{'Offer': ['OFF0029', 'OFF0008', 'OFF0001', 'OFF0007', 'OFF0005']}",123
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0027']}",124
"{'Offer': ['OFF0007', 'OFF0020', 'OFF0005', 'OFF0006', 'OFF0016']}",125
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0019', 'OFF0004', 'OFF0005']}",126
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0005', 'OFF0008', 'OFF0001']}",127
"{'Offer': ['OFF0007', 'OFF0005', 'OFF0027', 'OFF0006', 'OFF0008']}",128
"{'Offer': ['OFF0005', 'OFF0020', 'OFF0016', 'OFF0001', 'OFF0006']}",129
"{'Offer': ['OFF0010', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0005']}",130
"{'Offer': ['OFF0031', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0027']}",131
"{'Offer': ['OFF0020', 'OFF0007', 'OFF0005', 'OFF0008', 'OFF0004']}",132
"{'Offer': ['OFF0005', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0001']}",133
"{'Offer': ['OFF0007', 'OFF0027', 'OFF0022', 'OFF0026', 'OFF0024']}",134
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0005', 'OFF0008', 'OFF0001']}",135
"{'Offer': ['OFF0007', 'OFF0027', 'OFF0022', 'OFF0006', 'OFF0008']}",136
"{'Offer': ['OFF0031', 'OFF0020', 'OFF0005', 'OFF0013', 'OFF0008']}",137
"{'Offer': ['OFF0031', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0025']}",138
"{'Offer': ['OFF0007', 'OFF0005', 'OFF0006', 'OFF0001', 'OFF0004']}",139
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0005']}",140
"{'Offer': ['OFF0015', 'OFF0020', 'OFF0007', 'OFF0013', 'OFF0005']}",141
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0027']}",142
"{'Offer': ['OFF0007', 'OFF0031', 'OFF0006', 'OFF0009', 'OFF0008']}",143
"{'Offer': ['OFF0007', 'OFF0031', 'OFF0006', 'OFF0009', 'OFF0008']}",144
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0027']}",145
"{'Offer': ['OFF0007', 'OFF0010', 'OFF0006', 'OFF0004', 'OFF0009']}",146
"{'Offer': ['OFF0007', 'OFF0020', 'OFF0005', 'OFF0006', 'OFF0009']}",147
"{'Offer': ['OFF0007', 'OFF0027', 'OFF0026', 'OFF0009', 'OFF0005']}",148
"{'Offer': ['OFF0007', 'OFF0027', 'OFF0026', 'OFF0009', 'OFF0005']}",149
"{'Offer': ['OFF0029', 'OFF0005', 'OFF0008', 'OFF0001', 'OFF0007']}",150
"{'Offer': ['OFF0007', 'OFF0005', 'OFF0022', 'OFF0006', 'OFF0024']}",151
"{'Offer': ['OFF0005', 'OFF0020', 'OFF0001', 'OFF0004', 'OFF0006']}",152
"{'Offer': ['OFF0005', 'OFF0023', 'OFF0024', 'OFF0001', 'OFF0022']}",153
"{'Offer': ['OFF0016', 'OFF0036', 'OFF0019', 'OFF0017', 'OFF0040']}",154
"{'Offer': ['OFF0007', 'OFF0028', 'OFF0006', 'OFF0009', 'OFF0022']}",155
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0007', 'OFF0005', 'OFF0013']}",156
"{'Offer': ['OFF0031', 'OFF0022', 'OFF0023', 'OFF0024', 'OFF0027']}",157
"{'Offer': ['OFF0031', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0020']}",158
"{'Offer': ['OFF0031', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0001']}",159
"{'Offer': ['OFF0007', 'OFF0027', 'OFF0026', 'OFF0022', 'OFF0009']}",160
"{'Offer': ['OFF0007', 'OFF0016', 'OFF0006', 'OFF0009', 'OFF0008']}",161
"{'Offer': ['OFF0010', 'OFF0007', 'OFF0006', 'OFF0016', 'OFF0009']}",162
"{'Offer': ['OFF0023', 'OFF0024', 'OFF0022', 'OFF0005', 'OFF0027']}",163
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0010', 'OFF0006']}",164
"{'Offer': ['OFF0007', 'OFF0005', 'OFF0020', 'OFF0006', 'OFF0001']}",165
"{'Offer': ['OFF0007', 'OFF0005', 'OFF0022', 'OFF0006', 'OFF0024']}",166
"{'Offer': ['OFF0007', 'OFF0027', 'OFF0023', 'OFF0026', 'OFF0024']}",167
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0005', 'OFF0013', 'OFF0017']}",168
"{'Offer': ['OFF0010', 'OFF0020', 'OFF0022', 'OFF0024', 'OFF0005']}",169
"{'Offer': ['OFF0007', 'OFF0005', 'OFF0023', 'OFF0006', 'OFF0024']}",170
"{'Offer': ['OFF0010', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0004']}",171
"{'Offer': ['OFF0031', 'OFF0007', 'OFF0006', 'OFF0009', 'OFF0027']}",172
"{'Offer': ['OFF0007', 'OFF0005', 'OFF0022', 'OFF0006', 'OFF0008']}",173
"{'Offer': ['OFF0007', 'OFF0022', 'OFF0024', 'OFF0005', 'OFF0006']}",174
"{'Offer': ['OFF0016', 'OFF0007', 'OFF0022', 'OFF0005', 'OFF0023']}",175
"{'Offer': ['OFF0007', 'OFF0027', 'OFF0026', 'OFF0009', 'OFF0005']}",176
"{'Offer': ['OFF0010', 'OFF0023', 'OFF0005', 'OFF0024', 'OFF0004']}",177
"{'Offer': ['OFF0031', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0020']}",178
"{'Offer': ['OFF0016', 'OFF0007', 'OFF0006', 'OFF0009', 'OFF0027']}",179
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0008', 'OFF0024', 'OFF0004']}",180
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0005']}",181
"{'Offer': ['OFF0010', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0008']}",182
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0005']}",183
"{'Offer': ['OFF0007', 'OFF0020', 'OFF0005', 'OFF0006', 'OFF0016']}",184
"{'Offer': ['OFF0031', 'OFF0008', 'OFF0001', 'OFF0007', 'OFF0005']}",185
"{'Offer': ['OFF0007', 'OFF0020', 'OFF0023', 'OFF0024', 'OFF0005']}",186
"{'Offer': ['OFF0007', 'OFF0010', 'OFF0005', 'OFF0006', 'OFF0009']}",187
"{'Offer': ['OFF0007', 'OFF0027', 'OFF0005', 'OFF0026', 'OFF0006']}",188
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0022', 'OFF0023', 'OFF0024']}",189
"{'Offer': ['OFF0031', 'OFF0020', 'OFF0013', 'OFF0015', 'OFF0005']}",190
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0019', 'OFF0004', 'OFF0005']}",191
"{'Offer': ['OFF0010', 'OFF0007', 'OFF0006', 'OFF0004', 'OFF0009']}",192
"{'Offer': ['OFF0007', 'OFF0027', 'OFF0023', 'OFF0026', 'OFF0024']}",193
"{'Offer': ['OFF0007', 'OFF0005', 'OFF0023', 'OFF0024', 'OFF0006']}",194
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0005']}",195
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0006', 'OFF0009']}",196
"{'Offer': ['OFF0031', 'OFF0022', 'OFF0023', 'OFF0024', 'OFF0008']}",197
"{'Offer': ['OFF0031', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0002']}",198
"{'Offer': ['OFF0007', 'OFF0027', 'OFF0026', 'OFF0009', 'OFF0006']}",199
"{'Offer': ['OFF0007', 'OFF0016', 'OFF0006', 'OFF0009', 'OFF0022']}",200
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0007', 'OFF0005', 'OFF0006']}",201
"{'Offer': ['OFF0005', 'OFF0023', 'OFF0024', 'OFF0004', 'OFF0022']}",202
"{'Offer': ['OFF0007', 'OFF0016', 'OFF0006', 'OFF0009', 'OFF0008']}",203
"{'Offer': ['OFF0007', 'OFF0031', 'OFF0006', 'OFF0009', 'OFF0022']}",204
"{'Offer': ['OFF0007', 'OFF0027', 'OFF0026', 'OFF0022', 'OFF0009']}",205
"{'Offer': ['OFF0031', 'OFF0022', 'OFF0023', 'OFF0024', 'OFF0008']}",206
"{'Offer': ['OFF0005', 'OFF0007', 'OFF0006', 'OFF0001', 'OFF0008']}",207
"{'Offer': ['OFF0010', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0007']}",208
"{'Offer': ['OFF0023', 'OFF0024', 'OFF0031', 'OFF0022', 'OFF0007']}",209
"{'Offer': ['OFF0031', 'OFF0005', 'OFF0020', 'OFF0013', 'OFF0008']}",210
"{'Offer': ['OFF0005', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0006']}",211
"{'Offer': ['OFF0007', 'OFF0016', 'OFF0006', 'OFF0009', 'OFF0008']}",212
"{'Offer': ['OFF0007', 'OFF0005', 'OFF0006', 'OFF0001', 'OFF0027']}",213
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0020', 'OFF0024', 'OFF0005']}",214
"{'Offer': ['OFF0016', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0008']}",215
"{'Offer': ['OFF0031', 'OFF0005', 'OFF0008', 'OFF0001', 'OFF0007']}",216
"{'Offer': ['OFF0005', 'OFF0007', 'OFF0006', 'OFF0001', 'OFF0008']}",217
"{'Offer': ['OFF0010', 'OFF0020', 'OFF0007', 'OFF0005', 'OFF0006']}",218
"{'Offer': ['OFF0016', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0008']}",219
"{'Offer': ['OFF0016', 'OFF0007', 'OFF0006', 'OFF0009', 'OFF0027']}",220
"{'Offer': ['OFF0005', 'OFF0007', 'OFF0006', 'OFF0001', 'OFF0004']}",221
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0025']}",222
"{'Offer': ['OFF0016', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0019']}",223
"{'Offer': ['OFF0031', 'OFF0007', 'OFF0005', 'OFF0006', 'OFF0009']}",224
"{'Offer': ['OFF0007', 'OFF0031', 'OFF0022', 'OFF0023', 'OFF0024']}",225
"{'Offer': ['OFF0010', 'OFF0020', 'OFF0009', 'OFF0007', 'OFF0005']}",226
"{'Offer': ['OFF0016', 'OFF0036', 'OFF0019', 'OFF0020', 'OFF0013']}",227
"{'Offer': ['OFF0007', 'OFF0005', 'OFF0004', 'OFF0022', 'OFF0006']}",228
"{'Offer': ['OFF0007', 'OFF0020', 'OFF0023', 'OFF0024', 'OFF0005']}",229
"{'Offer': ['OFF0007', 'OFF0005', 'OFF0006', 'OFF0001', 'OFF0008']}",230
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0011', 'OFF0019', 'OFF0013']}",231
"{'Offer': ['OFF0007', 'OFF0042', 'OFF0006', 'OFF0008', 'OFF0009']}",232
"{'Offer': ['OFF0005', 'OFF0007', 'OFF0006', 'OFF0001', 'OFF0004']}",233
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0013', 'OFF0015', 'OFF0005']}",234
"{'Offer': ['OFF0007', 'OFF0027', 'OFF0026', 'OFF0009', 'OFF0005']}",235
"{'Offer': ['OFF0005', 'OFF0020', 'OFF0007', 'OFF0001', 'OFF0006']}",236
"{'Offer': ['OFF0005', 'OFF0023', 'OFF0024', 'OFF0006', 'OFF0001']}",237
"{'Offer': ['OFF0020', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0016']}",238
"{'Offer': ['OFF0007', 'OFF0027', 'OFF0026', 'OFF0009', 'OFF0006']}",239
"{'Offer': ['OFF0007', 'OFF0027', 'OFF0026', 'OFF0022', 'OFF0009']}",240
"{'Offer': ['OFF0013', 'OFF0020', 'OFF0005', 'OFF0007', 'OFF0006']}",241
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0019', 'OFF0004', 'OFF0005']}",242
"{'Offer': ['OFF0010', 'OFF0020', 'OFF0004', 'OFF0005', 'OFF0008']}",243
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0005']}",244
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0005']}",245
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0006']}",246
"{'Offer': ['OFF0005', 'OFF0007', 'OFF0006', 'OFF0001', 'OFF0008']}",247
"{'Offer': ['OFF0031', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0020']}",248
"{'Offer': ['OFF0007', 'OFF0020', 'OFF0005', 'OFF0006', 'OFF0016']}",249
"{'Offer': ['OFF0036', 'OFF0020', 'OFF0004', 'OFF0022', 'OFF0005']}",250
"{'Offer': ['OFF0007', 'OFF0027', 'OFF0026', 'OFF0009', 'OFF0005']}",251
"{'Offer': ['OFF0020', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0016']}",252
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0019', 'OFF0013', 'OFF0017']}",253
"{'Offer': ['OFF0007', 'OFF0027', 'OFF0023', 'OFF0026', 'OFF0024']}",254
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0020']}",255
"{'Offer': ['OFF0007', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0027']}",256
"{'Offer': ['OFF0007', 'OFF0020', 'OFF0023', 'OFF0024', 'OFF0005']}",257
"{'Offer': ['OFF0007', 'OFF0027', 'OFF0023', 'OFF0026', 'OFF0024']}",258
"{'Offer': ['OFF0007', 'OFF0016', 'OFF0005', 'OFF0006', 'OFF0008']}",259
"{'Offer': ['OFF0020', 'OFF0034', 'OFF0019', 'OFF0004', 'OFF0005']}",260
"{'Offer': ['OFF0031', 'OFF0005', 'OFF0008', 'OFF0001', 'OFF0007']}",261
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0022', 'OFF0019', 'OFF0023']}",262
"{'Offer': ['OFF0016', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0007']}",263
"{'Offer': ['OFF0031', 'OFF0010', 'OFF0008', 'OFF0001', 'OFF0007']}",264
"{'Offer': ['OFF0007', 'OFF0005', 'OFF0022', 'OFF0024', 'OFF0006']}",265
"{'Offer': ['OFF0007', 'OFF0036', 'OFF0005', 'OFF0006', 'OFF0004']}",266
"{'Offer': ['OFF0016', 'OFF0020', 'OFF0013', 'OFF0017', 'OFF0027']}",267
"{'Offer': ['OFF0005', 'OFF0023', 'OFF0024', 'OFF0022', 'OFF0001']}",268
"{'Offer': ['OFF0005', 'OFF0010', 'OFF0004', 'OFF0001', 'OFF0006']}",269
"{'Offer': ['OFF0007', 'OFF0031', 'OFF0022', 'OFF0023', 'OFF0024']}",270
"{'Offer': ['OFF0007', 'OFF0027', 'OFF0006', 'OFF0008', 'OFF0026']}",271
"{'Offer': ['OFF0031', 'OFF0008', 'OFF0001', 'OFF0005', 'OFF0006']}",272
"{'Offer': ['OFF0007', 'OFF0027', 'OFF0026', 'OFF0009', 'OFF0005']}",273
"{'Offer': ['OFF0007', 'OFF0010', 'OFF0006', 'OFF0009', 'OFF0022']}",274
